species,TreeID,census,e,Cluster,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
81,139988,7,79.21000000000001,4,61,1,183,11404.578802777778,0,-0.21000000000000796,-0.2459016393442623,32.3399148907104
990,140025,1,2.25,2,55,1,227,16311.395625,0,-0.25,0.21818181818181817,18.470190656565716
990,140025,2,2.25,2,54,1,239,17327.256111111114,0,0.75,-0.5370370370370371,-22.93919238683133
990,140025,3,3.24,2,52,1,210,16088.539722222222,0,-0.2400000000000002,-0.25,-3.3830288461538376
990,140025,4,3.61,2,49,1,197,15912.622222222222,0,-0.6099999999999999,-0.42857142857142855,21.180385487528355
990,140025,5,3.61,2,44,1,176,16950.46111111111,0,-0.6099999999999999,-0.11363636363636363,21.251736111111065
990,140025,6,3.61,2,47,1,171,17885.5375,0,4.390000000000001,0.2553191489361702,-137.89273823877065
990,140025,7,8.027777777777777,2,61,1,183,11404.578802777778,0,2.972222222222223,-0.2459016393442623,32.3399148907104
1145,139909,1,43.559999999999995,4,55,2,227,16311.395625,0,5.440000000000005,0.21818181818181817,18.470190656565716
1145,139909,2,49.467777777777776,4,54,2,239,17327.256111111114,0,-5.467777777777776,-0.5370370370370371,-22.93919238683133
1145,139909,3,44.44444444444445,4,52,2,210,16088.539722222222,0,2.55555555555555,-0.25,-3.3830288461538376
1145,139909,4,47.15111111111112,4,49,2,197,15912.622222222222,-2,-47.15111111111112,-0.42857142857142855,21.180385487528355
1145,139909,6,44.89,4,47,3,171,17885.5375,-3,-44.89,0.2553191489361702,-137.89273823877065
1145,139910,1,51.84,4,55,2,227,16311.395625,0,6.159999999999997,0.21818181818181817,18.470190656565716
1145,139910,2,58.52250000000001,4,54,2,239,17327.256111111114,0,-1.522500000000008,-0.5370370370370371,-22.93919238683133
1145,139910,3,57.25444444444445,4,52,2,210,16088.539722222222,0,-0.25444444444445224,-0.25,-3.3830288461538376
1145,139910,4,57.76,4,49,2,197,15912.622222222222,0,-7.759999999999998,-0.42857142857142855,21.180385487528355
1145,139910,5,50.41,4,44,2,176,16950.46111111111,1,0.5900000000000034,-0.11363636363636363,21.251736111111065
1145,139910,6,51.1225,4,47,3,171,17885.5375,-3,-51.1225,0.2553191489361702,-137.89273823877065
1145,334012,5,29.160000000000004,4,44,2,176,16950.46111111111,1,42.839999999999996,-0.11363636363636363,21.251736111111065
1145,334012,6,72.25,4,47,3,171,17885.5375,-2,0.75,0.2553191489361702,-137.89273823877065
1145,334012,7,73.96,4,61,1,183,11404.578802777778,2,-6.959999999999994,-0.2459016393442623,32.3399148907104
540,4951,1,4942.089999999999,3,55,1,227,16311.395625,0,817.9100000000008,0.21818181818181817,18.470190656565716
540,4951,2,5760.810000000001,3,54,1,239,17327.256111111114,0,655.1899999999987,-0.5370370370370371,-22.93919238683133
540,4951,3,6416.009999999999,3,52,1,210,16088.539722222222,0,307.9900000000007,-0.25,-3.3830288461538376
540,4951,4,6724.0,3,49,1,197,15912.622222222222,0,706.0,-0.42857142857142855,21.180385487528355
540,4951,5,7430.4400000000005,3,44,1,176,16950.46111111111,0,277.5599999999995,-0.11363636363636363,21.251736111111065
827,354940,6,2.25,3,47,1,171,17885.5375,0,7.75,0.2553191489361702,-137.89273823877065
827,354940,7,10.889999999999999,3,61,1,183,11404.578802777778,0,1.1100000000000012,-0.2459016393442623,32.3399148907104
